,title,price,location,shop_name,rating,product_img_url,product_detail_url
0,SEPATU SNEAKERS PRIA CASUAL SPORT RUNNING ADIDAS YEEZY BOOST 350 MEN,165000,Kota Bandung,brosneakers,156,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/7/1/149578090/149578090_6b36722c-53ee-4d9c-98e0-3986951c90ae_2048_2048.jpg,https://ta.tokopedia.com/promo/v1/clicks/HAthosKpHsrdHAth6sJEH_1p6_1dH_rFoptfoseEHAtFbsn76AJF6_2B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-P7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qBJF_7zoH1YJeM2HuJg2_32sPJNJgpVg1pnO_32gH1h919BguOuE3jPzH1OkZMBg17BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-q1BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjVO_1zCH7OkZ_VvzJ1p_32u81NJqpCvzJjFZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_1H7P7NJgRxozcWd_1zsP7YJqRP6zJ7O_jzzq3gzv_7EUaHau1Y5zjoH3ugh8cP5PjzxoJPRzMzArft7Q7h-QBoC3BgkeMgcZ_CFrO-Z8jVtz3zpz1PDyMhHZI2-8cy71MVvoZO-gZOBPRBD6VthHJ7W1OumeiOy3_xuocVkgsnfe1zx8MgFHcUpZ7gh3jo-Z_uzZO2jzchHHV-ZQ3Kp17Vag9Hs?n_candidate_ads=825&number_of_ads=10&page=1&ab_test=N&keywords=yeezy&dep_ids=1759%2C1800%2C1845&number_ads_req=10&ob=5&t=desktop&src=search&r=https%3A%2F%2Fwww.tokopedia.com%2Fbrosneakers%2Fsepatu-sneakers-pria-casual-sport-running-adidas-yeezy-boost-350-men%3Fsrc%3Dtopads&is_search=1&alg=stm&post_alg=cpc_shop_unq
1,Sepatu adidas Yeezy SPLY pria casual,165000,Kota Bandung,dwc shop,6,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/7/3/21642843/21642843_f9a5aa90-924f-4cdb-a83b-fb9ff67e4db2_1200_800.jpg,https://ta.tokopedia.com/promo/v1/clicks/HAthosKpHsrdHAth6sJEH_1p6_1dH_rFoptfoseEHAtFbsn76AJF6_2B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-P7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qBJF_7zoH1YJeM2HuJg2_32sPJNJgpVg1pnO_32gH1h919BguOuE3jPzH1OkZMBg17BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-q1BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjVO_1zCH7OkZ_VvzJ1p_32u81NJqpCvzJjFZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_1H7P7NJgRxozcWd_1zsP7YJqRP6zJ7O_jzzq3gzv_7EUaHau1Y5zjoH3ugh8cP5PjzxoJPRzMzArft7Q7h-QBoC3BgkeMgcZ_CFrO-Z8jVtz3zpz1PDyMhHZI2-8cy71MVvoZO-gZOBPRBD6VthHJ7W1OumeiOy3_xuocVkgsnfe1zx8MgFHcUpZ7gh3jo-Z_uzZO2jzchHHV-ZQ3Kp17Vag9Hs?n_candidate_ads=825&number_of_ads=10&page=1&ab_test=N&keywords=yeezy&dep_ids=1759%2C1800%2C1845&number_ads_req=10&ob=5&t=desktop&src=search&r=https%3A%2F%2Fwww.tokopedia.com%2Fbrosneakers%2Fsepatu-sneakers-pria-casual-sport-running-adidas-yeezy-boost-350-men%3Fsrc%3Dtopads&is_search=1&alg=stm&post_alg=cpc_shop_unq
2,Sepatu Pria - Off White x Adidas Yeezy Boost 350 V2 White - PRM,530000,Kab. Tangerang,csneakers,0,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/8/14/15161449/15161449_7212994d-1fbd-46c2-ba16-06006f91daf2_1200_800.jpg,https://ta.tokopedia.com/promo/v1/clicks/HAthosKpHsrdHAth6sJEH_1p6_1dH_rFoptfoseEHAtFbsn76AJF6_2B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-P7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qBJF_7zoH1YJeM2HuJg2_32sPJNJgpVg1pnO_32gH1h919BguOuE3jPzH1OkZMBg17BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-q1BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjVO_1zCH7OkZ_VvzJ1p_32u81NJqpCvzJjFZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_1H7P7NJgRxozcWd_1zsP7YJqRP6zJ7O_jzzq3gzv_7EUaHau1Y5zjoH3ugh8cP5PjzxoJPRzMzArft7Q7h-QBoC3BgkeMgcZ_CFrO-Z8jVtz3zpz1PDyMhHZI2-8cy71MVvoZO-gZOBPRBD6VthHJ7W1OumeiOy3_xuocVkgsnfe1zx8MgFHcUpZ7gh3jo-Z_uzZO2jzchHHV-ZQ3Kp17Vag9Hs?n_candidate_ads=825&number_of_ads=10&page=1&ab_test=N&keywords=yeezy&dep_ids=1759%2C1800%2C1845&number_ads_req=10&ob=5&t=desktop&src=search&r=https%3A%2F%2Fwww.tokopedia.com%2Fbrosneakers%2Fsepatu-sneakers-pria-casual-sport-running-adidas-yeezy-boost-350-men%3Fsrc%3Dtopads&is_search=1&alg=stm&post_alg=cpc_shop_unq
3,SEPATU RUNNING PRIA CASUAL ADIDAS YEEZY BOOST 350 MEN,165000,Kota Bandung,brosneakers,217,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/7/1/178107721/178107721_a6594464-dee0-4663-9cf1-db3f1a624fc8_2048_2048.jpg,https://ta.tokopedia.com/promo/v1/clicks/HAthosKpHsrdHAth6sJEH_1p6_1dH_rFoptfoseEHAtFbsn76AJF6_2B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-P7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qBJF_7zoH1YJeM2HuJg2_32sPJNJgpVg1pnO_32gH1h919BguOuE3jPzH1OkZMBg17BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-q1BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjVO_1zCH7OkZ_VvzJ1p_32u81NJqpCvzJjFZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_1H7P7NJgRxozcWd_1zsP7YJqRP6zJ7O_jzzq3gzv_7EUaHau1Y5zjoH3ugh8cP5PjzxoJPRzMzArft7Q7h-QBoC3BgkeMgcZ_CFrO-Z8jVtz3zpz1PDyMhHZI2-8cy71MVvoZO-gZOBPRBD6VthHJ7W1OumeiOy3_xuocVkgsnfe1zx8MgFHcUpZ7gh3jo-Z_uzZO2jzchHHV-ZQ3Kp17Vag9Hs?n_candidate_ads=825&number_of_ads=10&page=1&ab_test=N&keywords=yeezy&dep_ids=1759%2C1800%2C1845&number_ads_req=10&ob=5&t=desktop&src=search&r=https%3A%2F%2Fwww.tokopedia.com%2Fbrosneakers%2Fsepatu-sneakers-pria-casual-sport-running-adidas-yeezy-boost-350-men%3Fsrc%3Dtopads&is_search=1&alg=stm&post_alg=cpc_shop_unq
4,SEPATU WANITA CASUAL SNEAKERS ADIDAS YEEZY BOOST,165000,Kota Bandung,gyshel sneakers,4,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/5/18/158925709/158925709_9a975234-dd23-4ebe-9835-f18f434e4063_700_525.jpg,https://ta.tokopedia.com/promo/v1/clicks/HAthosKpHsrdHAth6sJEH_1p6_1dH_rFoptfoseEHAtFbsn76AJF6_2B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-P7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qBJF_7zoH1YJeM2HuJg2_32sPJNJgpVg1pnO_32gH1h919BguOuE3jPzH1OkZMBg17BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-q1BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjVO_1zCH7OkZ_VvzJ1p_32u81NJqpCvzJjFZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_1H7P7NJgRxozcWd_1zsP7YJqRP6zJ7O_jzzq3gzv_7EUaHau1Y5zjoH3ugh8cP5PjzxoJPRzMzArft7Q7h-QBoC3BgkeMgcZ_CFrO-Z8jVtz3zpz1PDyMhHZI2-8cy71MVvoZO-gZOBPRBD6VthHJ7W1OumeiOy3_xuocVkgsnfe1zx8MgFHcUpZ7gh3jo-Z_uzZO2jzchHHV-ZQ3Kp17Vag9Hs?n_candidate_ads=825&number_of_ads=10&page=1&ab_test=N&keywords=yeezy&dep_ids=1759%2C1800%2C1845&number_ads_req=10&ob=5&t=desktop&src=search&r=https%3A%2F%2Fwww.tokopedia.com%2Fbrosneakers%2Fsepatu-sneakers-pria-casual-sport-running-adidas-yeezy-boost-350-men%3Fsrc%3Dtopads&is_search=1&alg=stm&post_alg=cpc_shop_unq
5,adidas yeezy boost 350 oxford tan import - coklat terang,260000,Jakarta,Tokokubelibeli,24,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2017/12/2/70931997/70931997_017ee529-9e66-4ba4-be07-00412af5c3be_900_900.jpg,https://ta.tokopedia.com/promo/v1/clicks/HAthosKpHsrdHAth6sJEH_1p6_1dH_rFoptfoseEHAtFbsn76AJF6_2B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-P7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qBJF_7zoH1YJeM2HuJg2_32sPJNJgpVg1pnO_32gH1h919BguOuE3jPzH1OkZMBg17BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-q1BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjVO_1zCH7OkZ_VvzJ1p_32u81NJqpCvzJjFZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_1H7P7NJgRxozcWd_1zsP7YJqRP6zJ7O_jzzq3gzv_7EUaHau1Y5zjoH3ugh8cP5PjzxoJPRzMzArft7Q7h-QBoC3BgkeMgcZ_CFrO-Z8jVtz3zpz1PDyMhHZI2-8cy71MVvoZO-gZOBPRBD6VthHJ7W1OumeiOy3_xuocVkgsnfe1zx8MgFHcUpZ7gh3jo-Z_uzZO2jzchHHV-ZQ3Kp17Vag9Hs?n_candidate_ads=825&number_of_ads=10&page=1&ab_test=N&keywords=yeezy&dep_ids=1759%2C1800%2C1845&number_ads_req=10&ob=5&t=desktop&src=search&r=https%3A%2F%2Fwww.tokopedia.com%2Fbrosneakers%2Fsepatu-sneakers-pria-casual-sport-running-adidas-yeezy-boost-350-men%3Fsrc%3Dtopads&is_search=1&alg=stm&post_alg=cpc_shop_unq
6,SEPATU WANITA CASUAL SENAM ZUMBA FITNES ADIDAS YEEZY BOOST WOMEN,165000,Kota Bandung,brosneakers,3,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/5/18/139854049/139854049_e864b5ae-b3c5-4fcc-b815-7389046bb7ed_557_372.jpg,https://ta.tokopedia.com/promo/v1/clicks/HAthosKpHsrdHAth6sJEH_1p6_1dH_rFoptfoseEHAtFbsn76AJF6_2B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-P7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qBJF_7zoH1YJeM2HuJg2_32sPJNJgpVg1pnO_32gH1h919BguOuE3jPzH1OkZMBg17BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-q1BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjVO_1zCH7OkZ_VvzJ1p_32u81NJqpCvzJjFZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_1H7P7NJgRxozcWd_1zsP7YJqRP6zJ7O_jzzq3gzv_7EUaHau1Y5zjoH3ugh8cP5PjzxoJPRzMzArft7Q7h-QBoC3BgkeMgcZ_CFrO-Z8jVtz3zpz1PDyMhHZI2-8cy71MVvoZO-gZOBPRBD6VthHJ7W1OumeiOy3_xuocVkgsnfe1zx8MgFHcUpZ7gh3jo-Z_uzZO2jzchHHV-ZQ3Kp17Vag9Hs?n_candidate_ads=825&number_of_ads=10&page=1&ab_test=N&keywords=yeezy&dep_ids=1759%2C1800%2C1845&number_ads_req=10&ob=5&t=desktop&src=search&r=https%3A%2F%2Fwww.tokopedia.com%2Fbrosneakers%2Fsepatu-sneakers-pria-casual-sport-running-adidas-yeezy-boost-350-men%3Fsrc%3Dtopads&is_search=1&alg=stm&post_alg=cpc_shop_unq
7,Sepatu Pria - Adidas Yeezy Boost 350 V2 Zebra - GO,240000,Kab. Tangerang,csneakers,3,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/5/3/15161449/15161449_77b4a9a5-d32c-4639-b1d6-2c1b4c2151ac_1280_1280.jpg,https://ta.tokopedia.com/promo/v1/clicks/HAthosKpHsrdHAth6sJEH_1p6_1dH_rFoptfoseEHAtFbsn76AJF6_2B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-P7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qBJF_7zoH1YJeM2HuJg2_32sPJNJgpVg1pnO_32gH1h919BguOuE3jPzH1OkZMBg17BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-q1BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjVO_1zCH7OkZ_VvzJ1p_32u81NJqpCvzJjFZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_1H7P7NJgRxozcWd_1zsP7YJqRP6zJ7O_jzzq3gzv_7EUaHau1Y5zjoH3ugh8cP5PjzxoJPRzMzArft7Q7h-QBoC3BgkeMgcZ_CFrO-Z8jVtz3zpz1PDyMhHZI2-8cy71MVvoZO-gZOBPRBD6VthHJ7W1OumeiOy3_xuocVkgsnfe1zx8MgFHcUpZ7gh3jo-Z_uzZO2jzchHHV-ZQ3Kp17Vag9Hs?n_candidate_ads=825&number_of_ads=10&page=1&ab_test=N&keywords=yeezy&dep_ids=1759%2C1800%2C1845&number_ads_req=10&ob=5&t=desktop&src=search&r=https%3A%2F%2Fwww.tokopedia.com%2Fbrosneakers%2Fsepatu-sneakers-pria-casual-sport-running-adidas-yeezy-boost-350-men%3Fsrc%3Dtopads&is_search=1&alg=stm&post_alg=cpc_shop_unq
8,adidas yeezy boost 350 moonrock import - full abu,260000,Jakarta,Tokokubelibeli,22,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2017/10/12/70952619/70952619_d51af0af-709d-4c77-aeed-3324dcb34d18_900_900.jpg,https://ta.tokopedia.com/promo/v1/clicks/HAthosKpHsrdHAth6sJEH_1p6_1dH_rFoptfoseEHAtFbsn76AJF6_2B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-P7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qBJF_7zoH1YJeM2HuJg2_32sPJNJgpVg1pnO_32gH1h919BguOuE3jPzH1OkZMBg17BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-q1BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjVO_1zCH7OkZ_VvzJ1p_32u81NJqpCvzJjFZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_1H7P7NJgRxozcWd_1zsP7YJqRP6zJ7O_jzzq3gzv_7EUaHau1Y5zjoH3ugh8cP5PjzxoJPRzMzArft7Q7h-QBoC3BgkeMgcZ_CFrO-Z8jVtz3zpz1PDyMhHZI2-8cy71MVvoZO-gZOBPRBD6VthHJ7W1OumeiOy3_xuocVkgsnfe1zx8MgFHcUpZ7gh3jo-Z_uzZO2jzchHHV-ZQ3Kp17Vag9Hs?n_candidate_ads=825&number_of_ads=10&page=1&ab_test=N&keywords=yeezy&dep_ids=1759%2C1800%2C1845&number_ads_req=10&ob=5&t=desktop&src=search&r=https%3A%2F%2Fwww.tokopedia.com%2Fbrosneakers%2Fsepatu-sneakers-pria-casual-sport-running-adidas-yeezy-boost-350-men%3Fsrc%3Dtopads&is_search=1&alg=stm&post_alg=cpc_shop_unq
9,SEPATU SNEAKERS KULIAH KERJA SANTAI ADIDAS YEEZY 350 SUPREME,165000,Kota Bandung,dwc shop,3,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/7/16/21642843/21642843_08a837f1-7774-4c24-80d0-fef02dca7301_1200_800.jpg,https://ta.tokopedia.com/promo/v1/clicks/HAthosKpHsrdHAth6sJEH_1p6_1dH_rFoptfoseEHAtFbsn76AJF6_2B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-P7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qBJF_7zoH1YJeM2HuJg2_32sPJNJgpVg1pnO_32gH1h919BguOuE3jPzH1OkZMBg17BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-q1BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjVO_1zCH7OkZ_VvzJ1p_32u81NJqpCvzJjFZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_1H7P7NJgRxozcWd_1zsP7YJqRP6zJ7O_jzzq3gzv_7EUaHau1Y5zjoH3ugh8cP5PjzxoJPRzMzArft7Q7h-QBoC3BgkeMgcZ_CFrO-Z8jVtz3zpz1PDyMhHZI2-8cy71MVvoZO-gZOBPRBD6VthHJ7W1OumeiOy3_xuocVkgsnfe1zx8MgFHcUpZ7gh3jo-Z_uzZO2jzchHHV-ZQ3Kp17Vag9Hs?n_candidate_ads=825&number_of_ads=10&page=1&ab_test=N&keywords=yeezy&dep_ids=1759%2C1800%2C1845&number_ads_req=10&ob=5&t=desktop&src=search&r=https%3A%2F%2Fwww.tokopedia.com%2Fbrosneakers%2Fsepatu-sneakers-pria-casual-sport-running-adidas-yeezy-boost-350-men%3Fsrc%3Dtopads&is_search=1&alg=stm&post_alg=cpc_shop_unq
